Period,Serie,Värde
2016-06-23,1 EUR,9.3233
2016-06-27,1 EUR,9.3953
2016-06-28,1 EUR,9.4137
2016-06-29,1 EUR,9.423
2016-06-30,1 EUR,9.4164
2016-07-01,1 EUR,9.3951
2016-07-04,1 EUR,9.3985
2016-07-05,1 EUR,9.4028
2016-07-06,1 EUR,9.4392
2016-07-07,1 EUR,9.4746
2016-07-08,1 EUR,9.4923
2016-07-11,1 EUR,9.4747
2016-07-12,1 EUR,9.4705
2016-07-13,1 EUR,9.4639
2016-07-14,1 EUR,9.419
2016-07-15,1 EUR,9.4578
2016-07-18,1 EUR,9.4532
2016-07-19,1 EUR,9.4755
2016-07-20,1 EUR,9.4883
2016-07-21,1 EUR,9.4727
2016-07-22,1 EUR,9.492
2016-07-25,1 EUR,9.5023
2016-07-26,1 EUR,9.5072
2016-07-27,1 EUR,9.5235
2016-07-28,1 EUR,9.5388
2016-07-29,1 EUR,9.5594
2016-08-01,1 EUR,9.5547
2016-08-02,1 EUR,9.5907
2016-08-03,1 EUR,9.5494
2016-08-04,1 EUR,9.5273
2016-08-05,1 EUR,9.4927
2016-08-08,1 EUR,9.5098
2016-08-09,1 EUR,9.5064
2016-08-10,1 EUR,9.4911
2016-08-11,1 EUR,9.432
2016-08-12,1 EUR,9.4289
2016-08-15,1 EUR,9.4571
2016-08-16,1 EUR,9.4761
2016-08-17,1 EUR,9.4792
2016-08-18,1 EUR,9.4817
2016-08-19,1 EUR,9.4843
2016-08-22,1 EUR,9.4939
2016-08-23,1 EUR,9.4758
2016-08-24,1 EUR,9.4663
2016-08-25,1 EUR,9.4709
2016-08-26,1 EUR,9.486
2016-08-29,1 EUR,9.4934
2016-08-30,1 EUR,9.4869
2016-08-31,1 EUR,9.5136
2016-09-01,1 EUR,9.5695
2016-09-02,1 EUR,9.5856
2016-09-05,1 EUR,9.5602
2016-09-06,1 EUR,9.5354
2016-09-07,1 EUR,9.5178
2016-09-08,1 EUR,9.4888
2016-09-09,1 EUR,9.5198
2016-09-12,1 EUR,9.5549
2016-09-13,1 EUR,9.543
2016-09-14,1 EUR,9.5523
2016-09-15,1 EUR,9.5665
2016-09-16,1 EUR,9.5386
2016-09-19,1 EUR,9.5627
2016-09-20,1 EUR,9.5717
2016-09-21,1 EUR,9.5894
2016-09-22,1 EUR,9.5775
2016-09-23,1 EUR,9.5735
2016-09-26,1 EUR,9.6034
2016-09-27,1 EUR,9.5895
2016-09-28,1 EUR,9.6137
2016-09-29,1 EUR,9.6185
2016-09-30,1 EUR,9.632
2016-10-03,1 EUR,9.6195
2016-10-04,1 EUR,9.5991
2016-10-05,1 EUR,9.6151
2016-10-06,1 EUR,9.6255
2016-10-07,1 EUR,9.6237
2016-10-10,1 EUR,9.6821
2016-10-11,1 EUR,9.6805
2016-10-12,1 EUR,9.7405
2016-10-13,1 EUR,9.757
2016-10-14,1 EUR,9.7036
2016-10-17,1 EUR,9.6982
2016-10-18,1 EUR,9.6916
2016-10-19,1 EUR,9.6959
2016-10-20,1 EUR,9.6902
2016-10-21,1 EUR,9.6971
2016-10-24,1 EUR,9.6918
2016-10-25,1 EUR,9.7009
2016-10-26,1 EUR,9.7317
2016-10-27,1 EUR,9.709
2016-10-28,1 EUR,9.8694
2016-10-31,1 EUR,9.8614
2016-11-01,1 EUR,9.8795
2016-11-02,1 EUR,9.9103
2016-11-03,1 EUR,9.8882
2016-11-04,1 EUR,9.9405
2016-11-07,1 EUR,9.9591
2016-11-08,1 EUR,9.9615
2016-11-09,1 EUR,9.9826
2016-11-10,1 EUR,9.8819
2016-11-11,1 EUR,9.8953
2016-11-14,1 EUR,9.831
2016-11-15,1 EUR,9.8229
2016-11-16,1 EUR,9.8386
2016-11-17,1 EUR,9.8418
2016-11-18,1 EUR,9.8197
2016-11-21,1 EUR,9.8105
2016-11-22,1 EUR,9.7909
2016-11-23,1 EUR,9.7899
2016-11-24,1 EUR,9.7789
2016-11-25,1 EUR,9.7759
2016-11-28,1 EUR,9.7938
2016-11-29,1 EUR,9.7654
2016-11-30,1 EUR,9.7497
2016-12-01,1 EUR,9.8005
2016-12-02,1 EUR,9.827
2016-12-05,1 EUR,9.787
2016-12-06,1 EUR,9.8255
2016-12-07,1 EUR,9.7767
2016-12-08,1 EUR,9.7667
2016-12-09,1 EUR,9.7084
2016-12-12,1 EUR,9.7158
2016-12-13,1 EUR,9.7275
2016-12-14,1 EUR,9.7414
2016-12-15,1 EUR,9.7379
2016-12-16,1 EUR,9.7971
2016-12-19,1 EUR,9.7698
2016-12-20,1 EUR,9.7358
2016-12-21,1 EUR,9.7024
2016-12-22,1 EUR,9.6243
2016-12-23,1 EUR,9.6351
2016-12-27,1 EUR,9.6317
2016-12-28,1 EUR,9.6382
2016-12-29,1 EUR,9.5755
2016-12-30,1 EUR,9.5669
2017-01-02,1 EUR,9.561
2017-01-03,1 EUR,9.5385
2017-01-04,1 EUR,9.5446
2017-01-05,1 EUR,9.5471
2017-01-09,1 EUR,9.5665
2017-01-10,1 EUR,9.5687
2017-01-11,1 EUR,9.5731
2017-01-12,1 EUR,9.5326
2017-01-13,1 EUR,9.4973
2017-01-16,1 EUR,9.4875
2017-01-17,1 EUR,9.4944
2017-01-18,1 EUR,9.5169
2017-01-19,1 EUR,9.523
2017-01-20,1 EUR,9.533
2017-01-23,1 EUR,9.497
2017-01-24,1 EUR,9.4956
2017-01-25,1 EUR,9.4903
2017-01-26,1 EUR,9.47
2017-01-27,1 EUR,9.4493
2017-01-30,1 EUR,9.4568
2017-01-31,1 EUR,9.4479
2017-02-01,1 EUR,9.4222
2017-02-02,1 EUR,9.4146
2017-02-03,1 EUR,9.4219
2017-02-06,1 EUR,9.4439
2017-02-07,1 EUR,9.4705
2017-02-08,1 EUR,9.4651
2017-02-09,1 EUR,9.4599
2017-02-10,1 EUR,9.4858
2017-02-13,1 EUR,9.4835
2017-02-14,1 EUR,9.4671
2017-02-15,1 EUR,9.4485
2017-02-16,1 EUR,9.4618
2017-02-17,1 EUR,9.4594
2017-02-20,1 EUR,9.4625
2017-02-21,1 EUR,9.4896
2017-02-22,1 EUR,9.4535
2017-02-23,1 EUR,9.4769
2017-02-24,1 EUR,9.5096
2017-02-27,1 EUR,9.5449
2017-02-28,1 EUR,9.5709
2017-03-01,1 EUR,9.5448
2017-03-02,1 EUR,9.5253
2017-03-03,1 EUR,9.5436
2017-03-06,1 EUR,9.5453
2017-03-07,1 EUR,9.5358
2017-03-08,1 EUR,9.5251
2017-03-09,1 EUR,9.5456
2017-03-10,1 EUR,9.5806
2017-03-13,1 EUR,9.5855
2017-03-14,1 EUR,9.5217
2017-03-15,1 EUR,9.5323
2017-03-16,1 EUR,9.5096
2017-03-17,1 EUR,9.4869
2017-03-20,1 EUR,9.4921
2017-03-21,1 EUR,9.486
2017-03-22,1 EUR,9.5193
2017-03-23,1 EUR,9.4923
2017-03-24,1 EUR,9.5216
2017-03-27,1 EUR,9.5272
2017-03-28,1 EUR,9.539
2017-03-29,1 EUR,9.555
2017-03-30,1 EUR,9.5536
2017-03-31,1 EUR,9.5464
2017-04-03,1 EUR,9.5138
2017-04-04,1 EUR,9.5586
2017-04-05,1 EUR,9.5906
2017-04-06,1 EUR,9.5768
2017-04-07,1 EUR,9.5892
2017-04-10,1 EUR,9.6057
2017-04-11,1 EUR,9.6234
2017-04-12,1 EUR,9.5878
2017-04-13,1 EUR,9.5659
2017-04-18,1 EUR,9.5781
2017-04-19,1 EUR,9.6065
2017-04-20,1 EUR,9.6076
2017-04-21,1 EUR,9.6348
2017-04-24,1 EUR,9.6126
2017-04-25,1 EUR,9.6157
2017-04-26,1 EUR,9.568
2017-04-27,1 EUR,9.568
2017-04-28,1 EUR,9.6222
2017-05-02,1 EUR,9.6516
2017-05-03,1 EUR,9.6232
2017-05-04,1 EUR,9.6291
2017-05-05,1 EUR,9.6957
2017-05-08,1 EUR,9.6571
2017-05-09,1 EUR,9.6551
2017-05-10,1 EUR,9.6722
2017-05-11,1 EUR,9.6476
2017-05-12,1 EUR,9.6589
2017-05-15,1 EUR,9.6537
2017-05-16,1 EUR,9.6956
2017-05-17,1 EUR,9.7391
2017-05-18,1 EUR,9.7452
2017-05-19,1 EUR,9.7666
2017-05-22,1 EUR,9.7558
2017-05-23,1 EUR,9.7686
2017-05-24,1 EUR,9.7421
2017-05-26,1 EUR,9.7311
2017-05-29,1 EUR,9.7167
2017-05-30,1 EUR,9.7425
2017-05-31,1 EUR,9.7552
2017-06-01,1 EUR,9.7621
2017-06-02,1 EUR,9.7491
2017-06-05,1 EUR,9.7374
2017-06-07,1 EUR,9.778
2017-06-08,1 EUR,9.7819
2017-06-09,1 EUR,9.776
2017-06-12,1 EUR,9.769
2017-06-13,1 EUR,9.7707
2017-06-14,1 EUR,9.7374
2017-06-15,1 EUR,9.7541
2017-06-16,1 EUR,9.7549
2017-06-19,1 EUR,9.7412
2017-06-20,1 EUR,9.7448
2017-06-21,1 EUR,9.7731
2017-06-22,1 EUR,9.7703
2017-06-26,1 EUR,9.7574
2017-06-27,1 EUR,9.7579
2017-06-28,1 EUR,9.7852
2017-06-29,1 EUR,9.7273
2017-06-30,1 EUR,9.6734
2017-07-03,1 EUR,9.6226
2017-07-04,1 EUR,9.6646
2017-07-05,1 EUR,9.6654
2017-07-06,1 EUR,9.6302
2017-07-07,1 EUR,9.6416
2017-07-10,1 EUR,9.6166
2017-07-11,1 EUR,9.6106
2017-07-12,1 EUR,9.6272
2017-07-13,1 EUR,9.586
2017-07-14,1 EUR,9.5385
2017-07-17,1 EUR,9.5341
2017-07-18,1 EUR,9.5189
2017-07-19,1 EUR,9.5659
2017-07-20,1 EUR,9.5667
2017-07-21,1 EUR,9.5885
2017-07-24,1 EUR,9.604
2017-07-25,1 EUR,9.5612
2017-07-26,1 EUR,9.5636
2017-07-27,1 EUR,9.579
2017-07-28,1 EUR,9.5616
2017-07-31,1 EUR,9.5408
2017-08-01,1 EUR,9.547
2017-08-02,1 EUR,9.5913
2017-08-03,1 EUR,9.5985
2017-08-04,1 EUR,9.6095
2017-08-07,1 EUR,9.594
2017-08-08,1 EUR,9.6086
2017-08-09,1 EUR,9.6102
2017-08-10,1 EUR,9.5893
2017-08-11,1 EUR,9.5798
2017-08-14,1 EUR,9.5966
2017-08-15,1 EUR,9.514
2017-08-16,1 EUR,9.48
2017-08-17,1 EUR,9.4983
2017-08-18,1 EUR,9.5276
2017-08-21,1 EUR,9.5272
2017-08-22,1 EUR,9.5264
2017-08-23,1 EUR,9.5333
2017-08-24,1 EUR,9.5107
2017-08-25,1 EUR,9.5248
2017-08-28,1 EUR,9.5069
2017-08-29,1 EUR,9.5455
2017-08-30,1 EUR,9.4994
2017-08-31,1 EUR,9.4839
2017-09-01,1 EUR,9.48
2017-09-04,1 EUR,9.4925
2017-09-05,1 EUR,9.4671
2017-09-06,1 EUR,9.4917
2017-09-07,1 EUR,9.5094
2017-09-08,1 EUR,9.5475
2017-09-11,1 EUR,9.5394
2017-09-12,1 EUR,9.5612
2017-09-13,1 EUR,9.5501
2017-09-14,1 EUR,9.5418
2017-09-15,1 EUR,9.5246
2017-09-18,1 EUR,9.5082
2017-09-19,1 EUR,9.5339
2017-09-20,1 EUR,9.5413
2017-09-21,1 EUR,9.5212
2017-09-22,1 EUR,9.5297
2017-09-25,1 EUR,9.5371
2017-09-26,1 EUR,9.5494
2017-09-27,1 EUR,9.5689
2017-09-28,1 EUR,9.5789
2017-09-29,1 EUR,9.5668
2017-10-02,1 EUR,9.6049
2017-10-03,1 EUR,9.578
2017-10-04,1 EUR,9.5381
2017-10-05,1 EUR,9.5284
2017-10-06,1 EUR,9.5335
2017-10-09,1 EUR,9.5298
2017-10-10,1 EUR,9.5353
2017-10-11,1 EUR,9.5298
2017-10-12,1 EUR,9.582
2017-10-13,1 EUR,9.5972
2017-10-16,1 EUR,9.588
2017-10-17,1 EUR,9.5719
2017-10-18,1 EUR,9.5951
2017-10-19,1 EUR,9.6195
2017-10-20,1 EUR,9.6236
2017-10-23,1 EUR,9.6209
2017-10-24,1 EUR,9.6377
2017-10-25,1 EUR,9.7004
2017-10-26,1 EUR,9.6949
2017-10-27,1 EUR,9.712
2017-10-30,1 EUR,9.6962
2017-10-31,1 EUR,9.7287
2017-11-01,1 EUR,9.7481
2017-11-02,1 EUR,9.7746
2017-11-03,1 EUR,9.7855
2017-11-06,1 EUR,9.7927
2017-11-07,1 EUR,9.7516
2017-11-08,1 EUR,9.7326
2017-11-09,1 EUR,9.7223
2017-11-10,1 EUR,9.7468
2017-11-13,1 EUR,9.7566
2017-11-14,1 EUR,9.8265
2017-11-15,1 EUR,9.9171
2017-11-16,1 EUR,9.9207
2017-11-17,1 EUR,9.9202
2017-11-20,1 EUR,9.9339
2017-11-21,1 EUR,10.012
2017-11-22,1 EUR,9.922
2017-11-23,1 EUR,9.8644
2017-11-24,1 EUR,9.8452
2017-11-27,1 EUR,9.8991
2017-11-28,1 EUR,9.9002
2017-11-29,1 EUR,9.9009
2017-11-30,1 EUR,9.9109
2017-12-01,1 EUR,9.984
2017-12-04,1 EUR,9.9504
2017-12-05,1 EUR,9.9942
2017-12-06,1 EUR,9.9329
2017-12-07,1 EUR,9.9488
2017-12-08,1 EUR,9.9831
2017-12-11,1 EUR,9.9873
2017-12-12,1 EUR,9.9603
2017-12-13,1 EUR,9.9111
2017-12-14,1 EUR,9.9369
2017-12-15,1 EUR,9.9374
2017-12-18,1 EUR,9.9822
2017-12-19,1 EUR,9.9392
2017-12-20,1 EUR,9.9282
2017-12-21,1 EUR,9.9679
2017-12-22,1 EUR,9.9387
2017-12-27,1 EUR,9.9019
2017-12-28,1 EUR,9.8397
2017-12-29,1 EUR,9.8497
2018-01-02,1 EUR,9.8107
2018-01-03,1 EUR,9.8428
2018-01-04,1 EUR,9.8146
2018-01-05,1 EUR,9.8237
2018-01-08,1 EUR,9.8143
2018-01-09,1 EUR,9.8121
2018-01-10,1 EUR,9.8042
2018-01-11,1 EUR,9.7821
2018-01-12,1 EUR,9.7895
2018-01-15,1 EUR,9.8404
2018-01-16,1 EUR,9.8245
2018-01-17,1 EUR,9.8387
2018-01-18,1 EUR,9.8108
2018-01-19,1 EUR,9.8282
2018-01-22,1 EUR,9.8323
2018-01-23,1 EUR,9.8309
2018-01-24,1 EUR,9.8459
2018-01-25,1 EUR,9.8167
2018-01-26,1 EUR,9.8138
2018-01-29,1 EUR,9.7783
2018-01-30,1 EUR,9.7708
2018-01-31,1 EUR,9.757
2018-02-01,1 EUR,9.7936
2018-02-02,1 EUR,9.8292
2018-02-05,1 EUR,9.8367
2018-02-06,1 EUR,9.86
2018-02-07,1 EUR,9.8558
2018-02-08,1 EUR,9.8986
2018-02-09,1 EUR,9.9547
2018-02-12,1 EUR,9.9162
2018-02-13,1 EUR,9.9254
2018-02-14,1 EUR,9.8948
2018-02-15,1 EUR,9.898
2018-02-16,1 EUR,9.9106
2018-02-19,1 EUR,9.8901
2018-02-20,1 EUR,9.9355
2018-02-21,1 EUR,9.972
2018-02-22,1 EUR,9.9919
2018-02-23,1 EUR,10.006
2018-02-26,1 EUR,10.0268
2018-02-27,1 EUR,10.0645
2018-02-28,1 EUR,10.0752
2018-03-01,1 EUR,10.092
2018-03-02,1 EUR,10.1285
2018-03-05,1 EUR,10.1729
2018-03-06,1 EUR,10.2006
2018-03-07,1 EUR,10.2076
2018-03-08,1 EUR,10.2267
2018-03-09,1 EUR,10.1579
2018-03-12,1 EUR,10.1616
2018-03-13,1 EUR,10.1617
2018-03-14,1 EUR,10.1628
2018-03-15,1 EUR,10.1103
2018-03-16,1 EUR,10.0901
2018-03-19,1 EUR,10.0925
2018-03-20,1 EUR,10.0806
2018-03-21,1 EUR,10.0809
2018-03-22,1 EUR,10.1072
2018-03-23,1 EUR,10.197
2018-03-26,1 EUR,10.1697
2018-03-27,1 EUR,10.1916
2018-03-28,1 EUR,10.2379
2018-03-29,1 EUR,10.2931
2018-04-03,1 EUR,10.3446
2018-04-04,1 EUR,10.2864
2018-04-05,1 EUR,10.296
2018-04-06,1 EUR,10.324
2018-04-09,1 EUR,10.2868
2018-04-10,1 EUR,10.2946
2018-04-11,1 EUR,10.2759
2018-04-12,1 EUR,10.3243
2018-04-13,1 EUR,10.385
2018-04-16,1 EUR,10.4212
2018-04-17,1 EUR,10.4331
2018-04-18,1 EUR,10.4
2018-04-19,1 EUR,10.3977
2018-04-20,1 EUR,10.3841
2018-04-23,1 EUR,10.3878
2018-04-24,1 EUR,10.3847
2018-04-25,1 EUR,10.4138
2018-04-26,1 EUR,10.4012
2018-04-27,1 EUR,10.4881
2018-04-30,1 EUR,10.5117
2018-05-02,1 EUR,10.6123
2018-05-03,1 EUR,10.6667
2018-05-04,1 EUR,10.5603
2018-05-07,1 EUR,10.5424
2018-05-08,1 EUR,10.5151
2018-05-09,1 EUR,10.4339
2018-05-11,1 EUR,10.2808
2018-05-14,1 EUR,10.2748
2018-05-15,1 EUR,10.2943
2018-05-16,1 EUR,10.295
2018-05-17,1 EUR,10.2715
2018-05-18,1 EUR,10.3083
2018-05-21,1 EUR,10.2809
2018-05-22,1 EUR,10.23
2018-05-23,1 EUR,10.2635
2018-05-24,1 EUR,10.2648
2018-05-25,1 EUR,10.2266
2018-05-28,1 EUR,10.2183
2018-05-29,1 EUR,10.2634
2018-05-30,1 EUR,10.3217
2018-05-31,1 EUR,10.2801
2018-06-01,1 EUR,10.2961
2018-06-04,1 EUR,10.2716
2018-06-05,1 EUR,10.2282
2018-06-07,1 EUR,10.2533
2018-06-08,1 EUR,10.2872
2018-06-11,1 EUR,10.2666
2018-06-12,1 EUR,10.1902
2018-06-13,1 EUR,10.1432
2018-06-14,1 EUR,10.1514
2018-06-15,1 EUR,10.1296
2018-06-18,1 EUR,10.2308
2018-06-19,1 EUR,10.3358
2018-06-20,1 EUR,10.3079
2018-06-21,1 EUR,10.2687
2018-06-25,1 EUR,10.3551
2018-06-26,1 EUR,10.3314
2018-06-27,1 EUR,10.3649
2018-06-28,1 EUR,10.3878
2018-06-29,1 EUR,10.4213
2018-07-02,1 EUR,10.4591
2018-07-03,1 EUR,10.391
2018-07-04,1 EUR,10.2549
2018-07-05,1 EUR,10.2251
2018-07-06,1 EUR,10.2572
2018-07-09,1 EUR,10.2301
2018-07-10,1 EUR,10.2572
2018-07-11,1 EUR,10.2992
2018-07-12,1 EUR,10.2882
2018-07-13,1 EUR,10.3555
2018-07-16,1 EUR,10.357
2018-07-17,1 EUR,10.3268
2018-07-18,1 EUR,10.3117
2018-07-19,1 EUR,10.3331
2018-07-20,1 EUR,10.3769
2018-07-23,1 EUR,10.373
2018-07-24,1 EUR,10.3568
2018-07-25,1 EUR,10.3027
2018-07-26,1 EUR,10.2655
2018-07-27,1 EUR,10.2674
2018-07-30,1 EUR,10.2521
2018-07-31,1 EUR,10.2644
2018-08-01,1 EUR,10.2852
2018-08-02,1 EUR,10.2774
2018-08-03,1 EUR,10.3298
2018-08-06,1 EUR,10.3026
2018-08-07,1 EUR,10.3337
2018-08-08,1 EUR,10.3459
2018-08-09,1 EUR,10.4091
2018-08-10,1 EUR,10.3785
2018-08-13,1 EUR,10.4351
2018-08-14,1 EUR,10.3962
2018-08-15,1 EUR,10.3865
2018-08-16,1 EUR,10.4425
2018-08-17,1 EUR,10.4552
2018-08-20,1 EUR,10.4659
2018-08-21,1 EUR,10.5218
2018-08-22,1 EUR,10.5362
2018-08-23,1 EUR,10.5007
2018-08-24,1 EUR,10.5692
2018-08-27,1 EUR,10.6081
2018-08-28,1 EUR,10.6495
2018-08-29,1 EUR,10.6978
2018-08-30,1 EUR,10.6847
2018-08-31,1 EUR,10.6372
2018-09-03,1 EUR,10.6048
2018-09-04,1 EUR,10.5539
2018-09-05,1 EUR,10.5416
2018-09-06,1 EUR,10.5692
2018-09-07,1 EUR,10.58
2018-09-10,1 EUR,10.4503
2018-09-11,1 EUR,10.4978
2018-09-12,1 EUR,10.4988
2018-09-13,1 EUR,10.4435
2018-09-14,1 EUR,10.5116
2018-09-17,1 EUR,10.5143
2018-09-18,1 EUR,10.3984
2018-09-19,1 EUR,10.3801
2018-09-20,1 EUR,10.3607
2018-09-21,1 EUR,10.3319
2018-09-24,1 EUR,10.3334
2018-09-25,1 EUR,10.3183
2018-09-26,1 EUR,10.352
2018-09-27,1 EUR,10.3477
2018-09-28,1 EUR,10.2945
2018-10-01,1 EUR,10.3196
2018-10-02,1 EUR,10.3666
2018-10-03,1 EUR,10.3939
2018-10-04,1 EUR,10.3818
2018-10-05,1 EUR,10.4346
2018-10-08,1 EUR,10.4405
2018-10-09,1 EUR,10.4539
2018-10-10,1 EUR,10.4488
2018-10-11,1 EUR,10.4398
2018-10-12,1 EUR,10.3827
2018-10-15,1 EUR,10.3922
2018-10-16,1 EUR,10.35
2018-10-17,1 EUR,10.304
2018-10-18,1 EUR,10.3223
2018-10-19,1 EUR,10.3277
2018-10-22,1 EUR,10.3397
2018-10-23,1 EUR,10.3368
2018-10-24,1 EUR,10.3523
2018-10-25,1 EUR,10.4093
2018-10-26,1 EUR,10.3773
2018-10-29,1 EUR,10.4156
2018-10-30,1 EUR,10.3926
2018-10-31,1 EUR,10.4039
2018-11-01,1 EUR,10.3109
2018-11-02,1 EUR,10.2967
2018-11-05,1 EUR,10.3215
2018-11-06,1 EUR,10.3351
2018-11-07,1 EUR,10.3298
2018-11-08,1 EUR,10.2703
2018-11-09,1 EUR,10.2787
2018-11-12,1 EUR,10.2816
2018-11-13,1 EUR,10.2511
2018-11-14,1 EUR,10.2728
2018-11-15,1 EUR,10.2623
2018-11-16,1 EUR,10.2723
2018-11-19,1 EUR,10.2794
2018-11-20,1 EUR,10.312
2018-11-21,1 EUR,10.3353
2018-11-22,1 EUR,10.3144
2018-11-23,1 EUR,10.3045
2018-11-26,1 EUR,10.28
2018-11-27,1 EUR,10.3015
2018-11-28,1 EUR,10.2767
2018-11-29,1 EUR,10.2823
2018-11-30,1 EUR,10.3431
2018-12-03,1 EUR,10.2714
2018-12-04,1 EUR,10.226
2018-12-05,1 EUR,10.2299
2018-12-06,1 EUR,10.1952
2018-12-07,1 EUR,10.2274
2018-12-10,1 EUR,10.3157
2018-12-11,1 EUR,10.3118
2018-12-12,1 EUR,10.3138
2018-12-13,1 EUR,10.3099
2018-12-14,1 EUR,10.2928
2018-12-17,1 EUR,10.2619
2018-12-18,1 EUR,10.2949
2018-12-19,1 EUR,10.3103
2018-12-20,1 EUR,10.2978
2018-12-21,1 EUR,10.276
2018-12-27,1 EUR,10.3281
2018-12-28,1 EUR,10.2753
2019-01-02,1 EUR,10.2131
2019-01-03,1 EUR,10.2476
2019-01-04,1 EUR,10.2543
2019-01-07,1 EUR,10.2224
2019-01-08,1 EUR,10.1874
2019-01-09,1 EUR,10.2098
2019-01-10,1 EUR,10.2593
2019-01-11,1 EUR,10.2216
2019-01-14,1 EUR,10.2486
2019-01-15,1 EUR,10.2539
2019-01-16,1 EUR,10.2262
2019-01-17,1 EUR,10.2893
2019-01-18,1 EUR,10.2617
2019-01-21,1 EUR,10.2479
2019-01-22,1 EUR,10.2524
2019-01-23,1 EUR,10.251
2019-01-24,1 EUR,10.2686
2019-01-25,1 EUR,10.2931
2019-01-28,1 EUR,10.3337
2019-01-29,1 EUR,10.3484
2019-01-30,1 EUR,10.3808
2019-01-31,1 EUR,10.3697
2019-02-01,1 EUR,10.3573
2019-02-04,1 EUR,10.3736
2019-02-05,1 EUR,10.4196
2019-02-06,1 EUR,10.4236
2019-02-07,1 EUR,10.4832
2019-02-08,1 EUR,10.4974
2019-02-11,1 EUR,10.493
2019-02-12,1 EUR,10.4805
2019-02-13,1 EUR,10.4805
2019-02-14,1 EUR,10.4394
2019-02-15,1 EUR,10.5129
2019-02-18,1 EUR,10.4737
2019-02-19,1 EUR,10.527
2019-02-20,1 EUR,10.563
2019-02-21,1 EUR,10.5806
2019-02-22,1 EUR,10.5981
2019-02-25,1 EUR,10.5712
2019-02-26,1 EUR,10.58
2019-02-27,1 EUR,10.5518
2019-02-28,1 EUR,10.5213
2019-03-01,1 EUR,10.5071
2019-03-04,1 EUR,10.5281
2019-03-05,1 EUR,10.5832
2019-03-06,1 EUR,10.5371
2019-03-07,1 EUR,10.5222
2019-03-08,1 EUR,10.6208
2019-03-11,1 EUR,10.5903
2019-03-12,1 EUR,10.5562
2019-03-13,1 EUR,10.5623
2019-03-14,1 EUR,10.5139
2019-03-15,1 EUR,10.4936
2019-03-18,1 EUR,10.4687
2019-03-19,1 EUR,10.4711
2019-03-20,1 EUR,10.4451
2019-03-21,1 EUR,10.426
2019-03-22,1 EUR,10.454
2019-03-25,1 EUR,10.4574
2019-03-26,1 EUR,10.4556
2019-03-27,1 EUR,10.4357
2019-03-28,1 EUR,10.4735
2019-03-29,1 EUR,10.4221
2019-04-01,1 EUR,10.3932
2019-04-02,1 EUR,10.427
2019-04-03,1 EUR,10.4225
2019-04-04,1 EUR,10.4245
2019-04-05,1 EUR,10.4119
2019-04-08,1 EUR,10.4342
2019-04-09,1 EUR,10.4233
2019-04-10,1 EUR,10.4182
2019-04-11,1 EUR,10.4303
2019-04-12,1 EUR,10.4746
2019-04-15,1 EUR,10.4745
2019-04-16,1 EUR,10.4754
2019-04-17,1 EUR,10.4412
2019-04-18,1 EUR,10.4553
2019-04-23,1 EUR,10.4968
2019-04-24,1 EUR,10.508
2019-04-25,1 EUR,10.5818
2019-04-26,1 EUR,10.6042
2019-04-29,1 EUR,10.6065
2019-04-30,1 EUR,10.6377
2019-05-02,1 EUR,10.6895
2019-05-03,1 EUR,10.6969
2019-05-06,1 EUR,10.7158
2019-05-07,1 EUR,10.7157
2019-05-08,1 EUR,10.7254
2019-05-09,1 EUR,10.7814
2019-05-10,1 EUR,10.8193
2019-05-13,1 EUR,10.8465
2019-05-14,1 EUR,10.7932
2019-05-15,1 EUR,10.7782
2019-05-16,1 EUR,10.7694
2019-05-17,1 EUR,10.7763
2019-05-20,1 EUR,10.7543
2019-05-21,1 EUR,10.7984
2019-05-22,1 EUR,10.7677
2019-05-23,1 EUR,10.7401
2019-05-24,1 EUR,10.7419
2019-05-27,1 EUR,10.6903
2019-05-28,1 EUR,10.6786
2019-05-29,1 EUR,10.7042
2019-05-31,1 EUR,10.6376
2019-06-03,1 EUR,10.6104
2019-06-04,1 EUR,10.6204
2019-06-05,1 EUR,10.6179
2019-06-07,1 EUR,10.6367
2019-06-10,1 EUR,10.6478
2019-06-11,1 EUR,10.6602
2019-06-12,1 EUR,10.7075
2019-06-13,1 EUR,10.7045
2019-06-14,1 EUR,10.6854
2019-06-17,1 EUR,10.6473
2019-06-18,1 EUR,10.6352
2019-06-19,1 EUR,10.6913
2019-06-20,1 EUR,10.6321
2019-06-24,1 EUR,10.6212
2019-06-25,1 EUR,10.5617
2019-06-26,1 EUR,10.5371
2019-06-27,1 EUR,10.543
2019-06-28,1 EUR,10.5581
2019-07-01,1 EUR,10.5381
2019-07-02,1 EUR,10.5528
2019-07-03,1 EUR,10.5256
2019-07-04,1 EUR,10.5184
2019-07-05,1 EUR,10.539
2019-07-08,1 EUR,10.5882
2019-07-09,1 EUR,10.6085
2019-07-10,1 EUR,10.6197
2019-07-11,1 EUR,10.5922
2019-07-12,1 EUR,10.5519
2019-07-15,1 EUR,10.554
2019-07-16,1 EUR,10.5327
2019-07-17,1 EUR,10.5302
2019-07-18,1 EUR,10.5171
2019-07-19,1 EUR,10.5018
2019-07-22,1 EUR,10.5299
2019-07-23,1 EUR,10.5619
2019-07-24,1 EUR,10.5577
2019-07-25,1 EUR,10.5106
2019-07-26,1 EUR,10.5447
2019-07-29,1 EUR,10.5743
2019-07-30,1 EUR,10.6291
2019-07-31,1 EUR,10.6671
